name/season,shots,top-speed,duels-won,aerial-duels-won,crosses,fouls,distance,sprints,intensive-runs
marius-wolf_2023/2024,10.0,33.83,95.0,10.0,32.0,7.0,150.1,351.0,941.0
willi-orban_2023/2024,10.0,32.99,154.0,62.0,,15.0,182.1,226.0,808.0
willian-pacho_2023/2024,10.0,34.44,319.0,76.0,1.0,23.0,328.8,569.0,1765.0
hugo-larsson_2023/2024,10.0,33.33,136.0,10.0,6.0,15.0,266.8,376.0,1841.0
christoph-klarer_2023/2024,10.0,33.82,181.0,55.0,5.0,27.0,268.9,375.0,1340.0
matej-maglica_2023/2024,10.0,33.37,173.0,62.0,4.0,30.0,193.7,254.0,926.0
sebastiaan-bornauw_2023/2024,10.0,34.44,118.0,33.0,,27.0,157.2,250.0,812.0
jakub-kaminski_2023/2024,10.0,33.78,43.0,5.0,11.0,2.0,67.5,183.0,598.0
adrian-beck_2023/2024,10.0,31.6,116.0,19.0,6.0,12.0,144.9,342.0,1109.0
manuel-gulde_2023/2024,10.0,31.62,156.0,54.0,1.0,15.0,227.5,278.0,967.0
joe-scally_2023/2024,10.0,33.05,217.0,33.0,38.0,12.0,282.6,524.0,1640.0
mergim-berisha_2023/2024,10.0,32.44,19.0,3.0,2.0,4.0,33.8,73.0,206.0
josip-stanisic_2023/2024,10.0,34.27,121.0,19.0,12.0,5.0,159.3,307.0,897.0
patric-pfeiffer_2023/2024,10.0,34.2,62.0,26.0,,7.0,55.3,71.0,252.0
eljif-elmas_2023/2024,10.0,32.43,34.0,,,4.0,39.6,99.0,305.0
robin-knoche_2023/2024,9.0,31.83,163.0,55.0,1.0,9.0,229.7,214.0,973.0
